filiere,CO2 emissions [tCO2]
Biomasse,24.568484496
Charbon,3293.8471441010674
Fioul,3971.11093539003
Gaz,10808.589271361041
Géothermie,0.14234520320000002
Hydraulique,433.307899136
Nucléaire,2126.36523
