filiere,part_production,CO2 emissions [gCO2/kWh],production_kWh,CO2 emissions [tCO2]
Biomasse,0.9963978106374556,32.0,4424796.293262413,141.59348138439722
Charbon,4.040379403317764,1058.0,17942488.04675384,18983.15235346556
Fioul,7.059818474582828,730.0,31351191.546130165,22886.369828675022
Gaz,31.664283311716137,443.0,140614523.56750655,62292.2339404054
Géothermie,0.004861425280833,38.0,21588.582725648786,0.8203661435746539
Hydraulique,56.234259574464986,10.0,249724698.97365654,2497.2469897365654
