annee,part-production-MWh
2020,13.320996685320639
2021,12.47676432554663
2022,12.952455015394055
2023,13.605807693630577
2024,12.11749015894349
2025,12.438776085707804
2026,12.916633551400384
2027,13.573302594703579
2028,12.077698531548505
2029,12.400283120676617
2030,12.8803227789632
