code_reg,capacite_de_production_gwh_an,augmentation_prevue
32,17.876,Augmentation prévue
32,13.407,Aucune augmentation supplémentaire prévue
32,16.0884,Augmentation prévue
32,17.876,Aucune augmentation supplémentaire prévue
32,39.3272,Aucune augmentation supplémentaire prévue
32,17.876,Aucune augmentation supplémentaire prévue
32,37.5396,Augmentation prévue
32,11.1725,Augmentation prévue
32,17.876,Augmentation prévue
32,13.407,Augmentation prévue
32,13.407,Aucune augmentation supplémentaire prévue
32,10.7256,Aucune augmentation supplémentaire prévue
32,13.407,Augmentation prévue
32,12.9601,Augmentation prévue
32,8.0442,Aucune augmentation supplémentaire prévue
32,18.7698,Augmentation prévue
32,14.7477,Aucune augmentation supplémentaire prévue
32,13.407,Augmentation prévue
32,13.407,Augmentation prévue
32,23.6857,Aucune augmentation supplémentaire prévue
32,32.1768,Aucune augmentation supplémentaire prévue
32,53.628,Aucune augmentation supplémentaire prévue
32,35.752,Aucune augmentation supplémentaire prévue
32,14.3008,Aucune augmentation supplémentaire prévue
32,11.1725,Augmentation prévue
32,23.2388,Augmentation prévue
32,22.345,Augmentation prévue
32,35.752,Augmentation prévue
44,21.4512,Aucune augmentation supplémentaire prévue
44,15.1946,Augmentation prévue
44,8.938,Aucune augmentation supplémentaire prévue
44,16.0884,Augmentation prévue
44,29.58478,Augmentation prévue
44,26.814,Aucune augmentation supplémentaire prévue
44,44.69,Aucune augmentation supplémentaire prévue
44,26.814,Aucune augmentation supplémentaire prévue
44,8.0442,Aucune augmentation supplémentaire prévue
44,8.938,Aucune augmentation supplémentaire prévue
44,17.876,Aucune augmentation supplémentaire prévue
44,16.0884,Augmentation prévue
44,16.62468,Aucune augmentation supplémentaire prévue
44,13.407,Aucune augmentation supplémentaire prévue
44,16.0884,Augmentation prévue
44,13.407,Augmentation prévue
44,17.876,Aucune augmentation supplémentaire prévue
44,13.407,Augmentation prévue
44,32.1768,Aucune augmentation supplémentaire prévue
44,17.876,Augmentation prévue
44,17.876,Augmentation prévue
44,12.0663,Aucune augmentation supplémentaire prévue
44,16.9822,Augmentation prévue
44,15.6415,Augmentation prévue
44,13.31762,Aucune augmentation supplémentaire prévue
44,22.345,Augmentation prévue
44,35.752,Aucune augmentation supplémentaire prévue
44,35.752,Aucune augmentation supplémentaire prévue
44,28.1547,Augmentation prévue
44,21.0043,Aucune augmentation supplémentaire prévue
44,26.814,Augmentation prévue
44,13.407,Augmentation prévue
44,20.5574,Aucune augmentation supplémentaire prévue
44,44.69,Augmentation prévue
44,14.3008,Aucune augmentation supplémentaire prévue
44,37.5396,Aucune augmentation supplémentaire prévue
44,23.2388,Aucune augmentation supplémentaire prévue
44,22.345,Augmentation prévue
44,12.5132,Augmentation prévue
44,12.0663,Augmentation prévue
44,14.3008,Augmentation prévue
44,44.69,Aucune augmentation supplémentaire prévue
44,8.938,Aucune augmentation supplémentaire prévue
44,46.4776,Aucune augmentation supplémentaire prévue
44,14.7477,Augmentation prévue
44,14.3008,Aucune augmentation supplémentaire prévue
44,22.345,Augmentation prévue
44,8.4911,Aucune augmentation supplémentaire prévue
44,15.1946,Augmentation prévue
44,26.814,Augmentation prévue
44,22.345,Aucune augmentation supplémentaire prévue
44,12.5132,Augmentation prévue
44,8.4911,Aucune augmentation supplémentaire prévue
44,18.3229,Aucune augmentation supplémentaire prévue
44,11.1725,Augmentation prévue
44,22.345,Aucune augmentation supplémentaire prévue
44,55.8625,Augmentation prévue
44,25.0264,Aucune augmentation supplémentaire prévue
44,40.221,Augmentation prévue
44,11.1725,Aucune augmentation supplémentaire prévue
44,17.876,Aucune augmentation supplémentaire prévue
44,15.6415,Augmentation prévue
44,16.0884,Augmentation prévue
44,12.5132,Augmentation prévue
44,10.2787,Aucune augmentation supplémentaire prévue
44,7.1504,Aucune augmentation supplémentaire prévue
44,17.876,Aucune augmentation supplémentaire prévue
44,17.16096,Aucune augmentation supplémentaire prévue
44,16.5353,Augmentation prévue
44,13.407,Aucune augmentation supplémentaire prévue
44,8.4911,Augmentation prévue
44,14.3008,Augmentation prévue
