annee,part-production-MWh
2020,2.578257422965285
2021,2.88267562800633
2022,3.1251690264152803
2023,3.3830148979173287
2024,3.4743136215481156
2025,3.725817044403827
2026,3.99348339591857
2027,4.284002261279014
2028,4.309447199879602
2029,4.580160736063028
2030,4.8736586306228125
