annee,production électricité TWh
2008,68.0
2009,61.9
2010,67.6
2011,50.3
2012,63.8
2013,75.5
2014,68.0
2015,59.1
2016,64.0
2017,53.5
2018,68.2
2019,60.1
2020,65.1
