annee,conso_brute,conso_nette
2003,468386,437090
2010,513076,471398
2012,489515,476687
2016,483227,478846
2021,472147,467977
2001,449904,423979
2009,486690,461453
2017,482015,479895
2002,451117,432102
2006,478383,455489
2007,480392,462640
2013,494841,480453
2014,465155,478391
2015,476057,480617
2019,473747,476522
2004,479568,444949
2005,483210,448144
2008,494547,468854
2011,478788,476369
2018,478436,479814
2020,449384,461580
