annee,production électricité TWh
1990,297.9
1991,315
1992,321.8
1993,350
1994,341.6
1995,358.8
1996,378.2
1997,375.9
1998,368.5
1999,374.9
2000,395.2
2001,399.6
2002,415.5
2003,419.8
2004,426.9
2005,430
2006,428.7
2007,418.6
2008,418.3
2009,390
2010,407.9
2011,421.1
2012,404.9
2013,403.8
2014,415.9
2015,416.8
2016,384
2017,379.1
2018,393.2
2019,379.5
2020,335.4
