annee,production électricité TWh
2006,0.
2007,0.
2008,0.
2009,0.2
2010,0.5
2011,2.1
2012,4.1
2013,4.7
2014,5.9
2015,7.4
2016,8.4
2017,9.2
2018,10.8
2019,12.3
2020,12.6
