annee,production électricité TWh
2001,0
2002,0
2003,0.4
2004,0.6
2005,1.0
2006,2.3
2007,4.0
2008,5.6
2009,7.9
2010,9.7
2011,12.1
2012,14.9
2013,15.9
2014,17.1
2015,21.1
2016,20.9
2017,24.1
2018,28.1
2019,33.8
2020,39.7
