annee,production électricité MWh
2003,667
2004,772
2005,927
2006,1041
2007,953
2008,986
2009,1030
2010,1223
2011,1240
2012,1346
2013,1496
2014,1598
2015,1703
2016,1918
2017,1953
2018,2046
2019,2106
2020,2171
