tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method;commentaire
52;2020;Groupe;Group;Monde;World;Gaz;Gas;Electrique;Electric;12586.9562881;MWe;Nette;Net;
53;2020;Groupe;Group;Monde;World;Hydraulique;Hydraulic;Electrique;Electric;22276.2050138;MWe;Nette;Net;
54;2020;Groupe;Group;Monde;World;Géothermie;Geothermal;Electrique;Electric;0.8864;MWe;Nette;Net;
55;2020;Groupe;Group;Monde;World;Eolien;Wind;Electrique;Electric;8379.073235;MWe;Nette;Net;
56;2020;Groupe;Group;Monde;World;Solaire;Solar;Electrique;Electric;2198.86511143;MWe;Nette;Net;
57;2020;Groupe;Group;Monde;World;Biomasse;Biomass;Electrique;Electric;215.2017096;MWe;Nette;Net;
58;2020;Groupe;Group;Monde;World;Energie marine;Marine energy;Electrique;Electric;240.0;MWe;Nette;Net;
59;2020;Groupe;Group;Monde;World;Divers;Various;Electrique;Electric;58.9607232;MWe;Nette;Net;
60;2020;Groupe;Group;Monde;World;Charbon;Coal;Chaleur;Heat;772.268845;MWth;Nette;Net;
61;2020;Groupe;Group;Monde;World;Fioul;Fioul;Chaleur;Heat;940.966468;MWth;Nette;Net;
62;2020;Groupe;Group;Monde;World;Gaz;Gas;Chaleur;Heat;22566.3268762;MWth;Nette;Net;
63;2020;Groupe;Group;Monde;World;Autres ENR;Other Renewable Energies;Chaleur;Heat;2490.5753225;MWth;Nette;Net;
64;2020;Groupe;Group;Monde;World;Divers;Various;Chaleur;Heat;6365.520156;MWth;Nette;Net;
65;2019;Groupe;Group;Monde;World;Nucléaire;Nuclear;Electrique;Electric;72952.5;MWe;Intégration Globale;Full integration;
66;2019;Groupe;Group;Monde;World;Charbon;Coal;Electrique;Electric;3739.0;MWe;Intégration Globale;Full integration;
67;2019;Groupe;Group;Monde;World;Fioul;Fioul;Electrique;Electric;3988.17;MWe;Intégration Globale;Full integration;
68;2019;Groupe;Group;Monde;World;Gaz;Gas;Electrique;Electric;12066.41117;MWe;Intégration Globale;Full integration;
69;2019;Groupe;Group;Monde;World;Hydraulique;Hydraulic;Electrique;Electric;21375.3212718;MWe;Intégration Globale;Full integration;
70;2019;Groupe;Group;Monde;World;Géothermie;Geothermal;Electrique;Electric;1.0;MWe;Intégration Globale;Full integration;
71;2019;Groupe;Group;Monde;World;Eolien;Wind;Electrique;Electric;6946.34;MWe;Intégration Globale;Full integration;
72;2019;Groupe;Group;Monde;World;Solaire;Solar;Electrique;Electric;1110.23134;MWe;Intégration Globale;Full integration;
73;2019;Groupe;Group;Monde;World;Biomasse;Biomass;Electrique;Electric;240.44;MWe;Intégration Globale;Full integration;
74;2019;Groupe;Group;Monde;World;Energie marine;Marine energy;Electrique;Electric;240.0;MWe;Intégration Globale;Full integration;
75;2019;Groupe;Group;Monde;World;Divers;Various;Electrique;Electric;85.45;MWe;Intégration Globale;Full integration;
76;2019;Groupe;Group;Monde;World;Charbon;Coal;Chaleur;Heat;978.03;MWth;Intégration Globale;Full integration;
77;2019;Groupe;Group;Monde;World;Fioul;Fioul;Chaleur;Heat;941.62;MWth;Intégration Globale;Full integration;
78;2019;Groupe;Group;Monde;World;Gaz;Gas;Chaleur;Heat;22542.076;MWth;Intégration Globale;Full integration;
79;2019;Groupe;Group;Monde;World;Autres ENR;Other Renewable Energies;Chaleur;Heat;2479.89;MWth;Intégration Globale;Full integration;
80;2019;Groupe;Group;Monde;World;Divers;Various;Chaleur;Heat;6421.09;MWth;Intégration Globale;Full integration;
81;2019;Groupe;Group;Monde;World;Nucléaire;Nuclear;Electrique;Electric;74106.71245;MWe;Nette;Net;
82;2019;Groupe;Group;Monde;World;Charbon;Coal;Electrique;Electric;5756.0298;MWe;Nette;Net;
83;2019;Groupe;Group;Monde;World;Fioul;Fioul;Electrique;Electric;4163.91248402;MWe;Nette;Net;
84;2019;Groupe;Group;Monde;World;Gaz;Gas;Electrique;Electric;12320.7230209;MWe;Nette;Net;
85;2019;Groupe;Group;Monde;World;Hydraulique;Hydraulic;Electrique;Electric;22263.7771026;MWe;Nette;Net;
86;2019;Groupe;Group;Monde;World;Géothermie;Geothermal;Electrique;Electric;0.8864;MWe;Nette;Net;
87;2019;Groupe;Group;Monde;World;Eolien;Wind;Electrique;Electric;7826.72320552;MWe;Nette;Net;
88;2019;Groupe;Group;Monde;World;Solaire;Solar;Electrique;Electric;1748.67083506;MWe;Nette;Net;
89;2019;Groupe;Group;Monde;World;Biomasse;Biomass;Electrique;Electric;234.822376;MWe;Nette;Net;
90;2019;Groupe;Group;Monde;World;Energie marine;Marine energy;Electrique;Electric;240.0;MWe;Nette;Net;
91;2019;Groupe;Group;Monde;World;Divers;Various;Electrique;Electric;85.21696;MWe;Nette;Net;
92;2019;Groupe;Group;Monde;World;Charbon;Coal;Chaleur;Heat;968.478933;MWth;Nette;Net;
93;2019;Groupe;Group;Monde;World;Fioul;Fioul;Chaleur;Heat;936.483768;MWth;Nette;Net;
94;2019;Groupe;Group;Monde;World;Gaz;Gas;Chaleur;Heat;22453.7302227;MWth;Nette;Net;
95;2019;Groupe;Group;Monde;World;Autres ENR;Other Renewable Energies;Chaleur;Heat;2467.971892;MWth;Nette;Net;
96;2019;Groupe;Group;Monde;World;Divers;Various;Chaleur;Heat;6415.989856;MWth;Nette;Net;
