annee;secteur;scenario_orange;scenario_rouge;scenario_bleu;scenario_violet
2032;PEC + Coge;73.0;64.69;49.74;49.74
2016;Mobilite-gaz;1.2;1.2;1.2;1.2
2029;Residentiel;128.54;113.63;122.87;107.29
2017;Mobilite-gaz;1.33;1.41;1.41;1.38
2012;PEC + Coge;53.04;53.04;53.04;53.04
2014;PEC + Coge;33.56;33.56;33.56;33.56
2026;Industrie;164.23;161.36;154.72;142.14
2013;Residentiel;166.77;166.77;166.77;166.77
2035;Mobilite-gaz;89.89;46.29;67.67;36.51
2020;Residentiel;148.46;145.12;147.39;144.04
2024;Tertiaire;83.87;80.85;81.39;74.77
2025;Tertiaire;83.18;79.6;80.39;72.64
