tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;production;unite;methode_de_consolidation;consolidation_method
233;2019;Groupe;Group;France;France;Gaz;Gas;Electrique;Electric;11978.1062586;GWh;Nette;Net
234;2019;Groupe;Group;Grèce;Greece;Gaz;Gas;Electrique;Electric;1423.3547;GWh;Nette;Net
235;2019;Groupe;Group;Italie;Italy;Gaz;Gas;Electrique;Electric;16182.2805906;GWh;Nette;Net
236;2019;Groupe;Group;Royaume-Uni;United Kingdom;Gaz;Gas;Electrique;Electric;6202.273;GWh;Nette;Net
237;2019;Groupe;Group;Viêt Nam;Vietnam;Gaz;Gas;Electrique;Electric;3031.752375;GWh;Nette;Net
238;2019;Groupe;Group;Pays-Bas;Netherlands;Gaz;Gas;Electrique;Electric;2395.4;GWh;Nette;Net
239;2019;Groupe;Group;Chili;Chile;Gaz;Gas;Electrique;Electric;433.024;GWh;Nette;Net
240;2019;Groupe;Group;Belgique;Belgium;Hydraulique;Hydraulic;Electrique;Electric;137.5708939;GWh;Nette;Net
241;2019;Groupe;Group;Brésil;Brazil;Hydraulique;Hydraulic;Electrique;Electric;144.73477986;GWh;Nette;Net
242;2019;Groupe;Group;France;France;Hydraulique;Hydraulic;Electrique;Electric;41336.8801009;GWh;Nette;Net
243;2019;Groupe;Group;Italie;Italy;Hydraulique;Hydraulic;Electrique;Electric;2844.35637225;GWh;Nette;Net
244;2019;Groupe;Group;Suisse;Switzerland;Hydraulique;Hydraulic;Electrique;Electric;273.28878;GWh;Nette;Net
245;2019;Groupe;Group;Laos;Laos;Hydraulique;Hydraulic;Electrique;Electric;2026.4;GWh;Nette;Net
246;2019;Groupe;Group;Afrique du Sud;South Africa;Eolienne;Wind;Electrique;Electric;336.46;GWh;Nette;Net
247;2019;Groupe;Group;Allemagne;Germany;Eolienne;Wind;Electrique;Electric;280.879;GWh;Nette;Net
248;2019;Groupe;Group;Belgique;Belgium;Eolienne;Wind;Electrique;Electric;408.410352;GWh;Nette;Net
249;2019;Groupe;Group;Brésil;Brazil;Eolienne;Wind;Electrique;Electric;829.594;GWh;Nette;Net
250;2019;Groupe;Group;Canada;Canada;Eolienne;Wind;Electrique;Electric;1932.182;GWh;Nette;Net
251;2019;Groupe;Group;République populaire de Chine;People's Republic of China;Eolienne;Wind;Electrique;Electric;244.039;GWh;Nette;Net
252;2019;Groupe;Group;France;France;Eolienne;Wind;Electrique;Electric;3230.9025686;GWh;Nette;Net
253;2019;Groupe;Group;Grèce;Greece;Eolienne;Wind;Electrique;Electric;521.497;GWh;Nette;Net
254;2019;Groupe;Group;Inde;India;Eolienne;Wind;Electrique;Electric;305.601;GWh;Nette;Net
255;2019;Groupe;Group;Italie;Italy;Eolienne;Wind;Electrique;Electric;776.555065521;GWh;Nette;Net
256;2019;Groupe;Group;Mexique;Mexico;Eolienne;Wind;Electrique;Electric;651.906;GWh;Nette;Net
257;2019;Groupe;Group;Portugal;Portugal;Eolienne;Wind;Electrique;Electric;513.2;GWh;Nette;Net
258;2019;Groupe;Group;Turquie;Turkey;Eolienne;Wind;Electrique;Electric;749.158;GWh;Nette;Net
259;2019;Groupe;Group;Royaume-Uni;United Kingdom;Eolienne;Wind;Electrique;Electric;2046.99;GWh;Nette;Net
260;2019;Groupe;Group;États-Unis;United States of America;Eolienne;Wind;Electrique;Electric;8951.568;GWh;Nette;Net
261;2019;Groupe;Group;Chili;Chile;Eolienne;Wind;Electrique;Electric;178.9;GWh;Nette;Net
262;2019;Groupe;Group;Maroc;Morocco;Eolienne;Wind;Electrique;Electric;73.533;GWh;Nette;Net
263;2019;Groupe;Group;Belgique;Belgium;Solaire;Solar;Electrique;Electric;1.081684293;GWh;Nette;Net
264;2019;Groupe;Group;Brésil;Brazil;Solaire;Solar;Electrique;Electric;415.5;GWh;Nette;Net
265;2019;Groupe;Group;Canada;Canada;Solaire;Solar;Electrique;Electric;58.3817539074;GWh;Nette;Net
266;2019;Groupe;Group;République populaire de Chine;People's Republic of China;Solaire;Solar;Electrique;Electric;93.16;GWh;Nette;Net
267;2019;Groupe;Group;Espagne;Spain;Solaire;Solar;Electrique;Electric;0.14995888605;GWh;Nette;Net
268;2019;Groupe;Group;France;France;Solaire;Solar;Electrique;Electric;260.210142955;GWh;Nette;Net
269;2019;Groupe;Group;Grèce;Greece;Solaire;Solar;Electrique;Electric;18.645;GWh;Nette;Net
270;2019;Groupe;Group;Inde;India;Solaire;Solar;Electrique;Electric;169.427;GWh;Nette;Net
271;2019;Groupe;Group;Israël;Israel;Solaire;Solar;Electrique;Electric;398.586;GWh;Nette;Net
272;2019;Groupe;Group;Italie;Italy;Solaire;Solar;Electrique;Electric;108.838322324;GWh;Nette;Net
273;2019;Groupe;Group;Mexique;Mexico;Solaire;Solar;Electrique;Electric;122.161;GWh;Nette;Net
274;2019;Groupe;Group;Turquie;Turkey;Solaire;Solar;Electrique;Electric;5.6;GWh;Nette;Net
275;2019;Groupe;Group;États-Unis;United States of America;Solaire;Solar;Electrique;Electric;418.635;GWh;Nette;Net
276;2019;Groupe;Group;Chili;Chile;Solaire;Solar;Electrique;Electric;281.9;GWh;Nette;Net
277;2019;Groupe;Group;Emirats Arabes Unis;United Arab Emirates;Solaire;Solar;Electrique;Electric;134.1;GWh;Nette;Net
278;2019;Groupe;Group;Autres pays;Various countries;Solaire;Solar;Electrique;Electric;47.3;GWh;Nette;Net
279;2019;Groupe;Group;France;France;Géothermie;Geothermal;Electrique;Electric;3.714016;GWh;Nette;Net
280;2019;Groupe;Group;France;France;Biomasse;Biomass;Electrique;Electric;1044.1894516;GWh;Nette;Net
281;2019;Groupe;Group;Royaume-Uni;United Kingdom;Biomasse;Biomass;Electrique;Electric;28.4099438;GWh;Nette;Net
282;2019;Groupe;Group;États-Unis;United States of America;Biomasse;Biomass;Electrique;Electric;180.826;GWh;Nette;Net
283;2019;Groupe;Group;France;France;Energie marine;Marine energy;Electrique;Electric;531.652;GWh;Nette;Net
284;2019;Groupe;Group;France;France;Divers;Various;Electrique;Electric;264.5941482;GWh;Nette;Net
285;2019;Groupe;Group;Italie;Italy;Divers;Various;Electrique;Electric;32.4342835;GWh;Nette;Net
286;2019;Groupe;Group;Pologne;Poland;Divers;Various;Electrique;Electric;97.9771784;GWh;Nette;Net
287;2019;Groupe;Group;France;France;Charbon;Coal;Chaleur;Heat;94.1075016;GWh;Nette;Net
288;2019;Groupe;Group;Pologne;Poland;Charbon;Coal;Chaleur;Heat;886.866425866;GWh;Nette;Net
289;2019;Groupe;Group;France;France;Fioul;Fioul;Chaleur;Heat;266.7828342;GWh;Nette;Net
290;2019;Groupe;Group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;44.576756627;GWh;Nette;Net
291;2019;Groupe;Group;Espagne;Spain;Gaz;Gas;Chaleur;Heat;20.4557295;GWh;Nette;Net
292;2019;Groupe;Group;France;France;Gaz;Gas;Chaleur;Heat;14395.6913996;GWh;Nette;Net
293;2019;Groupe;Group;Italie;Italy;Gaz;Gas;Chaleur;Heat;2826.82207372;GWh;Nette;Net
294;2019;Groupe;Group;France;France;Divers;Various;Chaleur;Heat;3069.10743;GWh;Nette;Net
295;2019;Groupe;Group;Pologne;Poland;Divers;Various;Chaleur;Heat;185.5695914;GWh;Nette;Net
296;2019;Groupe;Group;Royaume-Uni;United Kingdom;Divers;Various;Chaleur;Heat;1.5710568;GWh;Nette;Net
297;2019;Groupe;Group;France;France;ENR;Renewable Energies;Chaleur;Heat;8479.3125536;GWh;Nette;Net
298;2019;Groupe;Group;Italie;Italy;ENR;Renewable Energies;Chaleur;Heat;28.6201900939;GWh;Nette;Net
299;2019;Groupe;Group;Royaume-Uni;United Kingdom;ENR;Renewable Energies;Chaleur;Heat;1.5710568;GWh;Nette;Net
