tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method;commentaire
50;2021;Groupe;Group;Italie;Italy;Divers;Various;Electrique;Electric;7.09341;MWe;Nette;Net;
51;2021;Groupe;Group;Italie;Italy;Fioul;Fioul;Chaleur;Heat;4.46982;MWth;Nette;Net;
52;2021;Groupe;Group;Italie;Italy;Gaz;Gas;Chaleur;Heat;2751.057606;MWth;Nette;Net;
53;2021;Groupe;Group;Italie;Italy;Autres ENR;Other Renewable Energies;Chaleur;Heat;29.0771508;MWth;Nette;Net;
54;2021;Groupe;Group;Italie;Italy;Divers;Various;Chaleur;Heat;48.68217;MWth;Nette;Net;
55;2021;Groupe;Group;Mexique;Mexico;Eolien;Wind;Electrique;Electric;162.0;MWe;Nette;Net;
56;2021;Groupe;Group;Mexique;Mexico;Solaire;Solar;Electrique;Electric;119.6;MWe;Nette;Net;
57;2021;Groupe;Group;Pologne;Poland;Charbon;Coal;Electrique;Electric;11.6604;MWe;Nette;Net;
58;2021;Groupe;Group;Pologne;Poland;Fioul;Fioul;Electrique;Electric;0.369778;MWe;Nette;Net;
59;2021;Groupe;Group;Pologne;Poland;Gaz;Gas;Electrique;Electric;15.870472;MWe;Nette;Net;
60;2021;Groupe;Group;Pologne;Poland;Eolien;Wind;Electrique;Electric;68.0;MWe;Nette;Net;
61;2021;Groupe;Group;Pologne;Poland;Divers;Various;Electrique;Electric;15.870472;MWe;Nette;Net;
62;2021;Groupe;Group;Pologne;Poland;Charbon;Coal;Chaleur;Heat;672.266491;MWth;Nette;Net;
63;2021;Groupe;Group;Pologne;Poland;Gaz;Gas;Chaleur;Heat;114.028995;MWth;Nette;Net;
64;2021;Groupe;Group;Pologne;Poland;Divers;Various;Chaleur;Heat;74.955;MWth;Nette;Net;
65;2021;Groupe;Group;Suisse;Switzerland;Hydraulique;Hydraulic;Electrique;Electric;121.65684;MWe;Nette;Net;
66;2021;Groupe;Group;Royaume-Uni;United Kingdom;Nucléaire;Nuclear;Electrique;Electric;6266.4;MWe;Nette;Net;
67;2021;Groupe;Group;Royaume-Uni;United Kingdom;Charbon;Coal;Electrique;Electric;1015.0;MWe;Nette;Net;
68;2021;Groupe;Group;Royaume-Uni;United Kingdom;Eolien;Wind;Electrique;Electric;366.070696;MWe;Nette;Net;
69;2021;Groupe;Group;États-Unis;United States of America;Eolien;Wind;Electrique;Electric;3294.63;MWe;Nette;Net;
70;2021;Groupe;Group;États-Unis;United States of America;Solaire;Solar;Electrique;Electric;996.6445;MWe;Nette;Net;
71;2021;Groupe;Group;Vietnam;Vietnam;Gaz;Gas;Electrique;Electric;402.1875;MWe;Nette;Net;
72;2021;Groupe;Group;Pays-Bas;Netherlands;Gaz;Gas;Electrique;Electric;435.0;MWe;Nette;Net;
73;2021;Groupe;Group;Chili;Chile;Fioul;Fioul;Electrique;Electric;186.4;MWe;Nette;Net;
74;2021;Groupe;Group;Chili;Chile;Gaz;Gas;Electrique;Electric;185.05;MWe;Nette;Net;
75;2021;Groupe;Group;Chili;Chile;Eolien;Wind;Electrique;Electric;87.5;MWe;Nette;Net;
76;2021;Groupe;Group;Chili;Chile;Solaire;Solar;Electrique;Electric;130.5;MWe;Nette;Net;
77;2021;Groupe;Group;Laos;Laos;Hydraulique;Hydraulic;Electrique;Electric;432.0;MWe;Nette;Net;
