tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method;commentaire
219;2019;Groupe;Group;Italie;Italy;Divers;Various;Electrique;Electric;7.11385;MWe;Nette;Net;
220;2019;Groupe;Group;Italie;Italy;Gaz;Gas;Chaleur;Heat;2176.458045;MWth;Nette;Net;
221;2019;Groupe;Group;Italie;Italy;Autres ENR;Other Renewable Energies;Chaleur;Heat;26.79875;MWth;Nette;Net;
222;2019;Groupe;Group;Italie;Italy;Divers;Various;Chaleur;Heat;48.82245;MWth;Nette;Net;
223;2019;Groupe;Group;Mexique;Mexico;Eolien;Wind;Electrique;Electric;229.5;MWe;Nette;Net;
224;2019;Groupe;Group;Mexique;Mexico;Solaire;Solar;Electrique;Electric;119.6;MWe;Nette;Net;
225;2019;Groupe;Group;Pologne;Poland;Charbon;Coal;Electrique;Electric;11.694;MWe;Nette;Net;
226;2019;Groupe;Group;Pologne;Poland;Fioul;Fioul;Electrique;Electric;0.369778;MWe;Nette;Net;
227;2019;Groupe;Group;Pologne;Poland;Gaz;Gas;Electrique;Electric;15.870472;MWe;Nette;Net;
228;2019;Groupe;Group;Pologne;Poland;Divers;Various;Electrique;Electric;15.870472;MWe;Nette;Net;
229;2019;Groupe;Group;Pologne;Poland;Charbon;Coal;Chaleur;Heat;827.543545;MWth;Nette;Net;
230;2019;Groupe;Group;Pologne;Poland;Gaz;Gas;Chaleur;Heat;0.925775;MWth;Nette;Net;
231;2019;Groupe;Group;Pologne;Poland;Divers;Various;Chaleur;Heat;74.955;MWth;Nette;Net;
232;2019;Groupe;Group;Portugal;Portugal;Eolien;Wind;Electrique;Electric;204.97;MWe;Nette;Net;
233;2019;Groupe;Group;Suisse;Switzerland;Hydraulique;Hydraulic;Electrique;Electric;122.0074;MWe;Nette;Net;
234;2019;Groupe;Group;Turquie;Turkey;Eolien;Wind;Electrique;Electric;267.41;MWe;Nette;Net;
235;2019;Groupe;Group;Turquie;Turkey;Solaire;Solar;Electrique;Electric;18.2;MWe;Nette;Net;
236;2019;Groupe;Group;Royaume-Uni;United Kingdom;Nucléaire;Nuclear;Electrique;Electric;7138.4;MWe;Nette;Net;
237;2019;Groupe;Group;Royaume-Uni;United Kingdom;Charbon;Coal;Electrique;Electric;1987.0;MWe;Nette;Net;
238;2019;Groupe;Group;Royaume-Uni;United Kingdom;Gaz;Gas;Electrique;Electric;1333.0;MWe;Nette;Net;
239;2019;Groupe;Group;Royaume-Uni;United Kingdom;Eolien;Wind;Electrique;Electric;384.225;MWe;Nette;Net;
240;2019;Groupe;Group;Royaume-Uni;United Kingdom;Biomasse;Biomass;Electrique;Electric;3.9976;MWe;Nette;Net;
241;2019;Groupe;Group;Royaume-Uni;United Kingdom;Divers;Various;Electrique;Electric;3.9976;MWe;Nette;Net;
242;2019;Groupe;Group;Royaume-Uni;United Kingdom;Divers;Various;Chaleur;Heat;14.991;MWth;Nette;Net;
243;2019;Groupe;Group;États-Unis;United States of America;Nucléaire;Nuclear;Electrique;Electric;2020.0959;MWe;Nette;Net;
244;2019;Groupe;Group;États-Unis;United States of America;Eolien;Wind;Electrique;Electric;2855.41;MWe;Nette;Net;
245;2019;Groupe;Group;États-Unis;United States of America;Solaire;Solar;Electrique;Electric;340.85;MWe;Nette;Net;
246;2019;Groupe;Group;Vietnam;Vietnam;Gaz;Gas;Electrique;Electric;402.1875;MWe;Nette;Net;
247;2019;Groupe;Group;Pays-Bas;Netherlands;Gaz;Gas;Electrique;Electric;435.0;MWe;Nette;Net;
248;2019;Groupe;Group;Chili;Chile;Fioul;Fioul;Electrique;Electric;130.895;MWe;Nette;Net;
249;2019;Groupe;Group;Chili;Chile;Gaz;Gas;Electrique;Electric;185.05;MWe;Nette;Net;
250;2019;Groupe;Group;Chili;Chile;Eolien;Wind;Electrique;Electric;57.5;MWe;Nette;Net;
251;2019;Groupe;Group;Chili;Chile;Solaire;Solar;Electrique;Electric;130.5;MWe;Nette;Net;
252;2019;Groupe;Group;Laos;Laos;Hydraulique;Hydraulic;Electrique;Electric;432.0;MWe;Nette;Net;
253;2019;Groupe;Group;Emirats Arabes Unis;United Arab Emirates;Solaire;Solar;Electrique;Electric;105.63;MWe;Nette;Net;
254;2019;Groupe;Group;Autres pays;Various countries;Solaire;Solar;Electrique;Electric;65.0;MWe;Nette;Net;
