tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;categorie;group;indicateur;indicator;valeur;unite;methode_d_integration;integration_method;commentaire;comment
16;2021;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Émissions atmosphériques radioactives;Radioactive atmospheric emissions;Tritium;Tritium;0.346;TBq/unité op;Intégration Globale;Full consolidation;;
17;2021;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Combustible;Fuel;Uranium éliminé;Disposed uranium;137.0;t;Intégration Globale;Full consolidation;;
18;2021;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Rejet d'effluents radioactifs dans l'eau;Radioactive effluents released into water;Tritium - AGR;Tritium - AGR;99.004;TBq/reactor;Intégration Globale;Full consolidation;;
21;2021;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Émissions atmosphériques radioactives;Radioactive atmospheric emissions;Tritium - PWR;Tritium - PWR;0.308;TBq/reactor;Intégration Globale;Full consolidation;;
31;2020;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Déchets radioactifs;Nuclear waste;Déchets radioactifs à Faible Activité évacués;Disposed lowlevel radioactive waste;352.4;m³;Intégration Globale;Full consolidation;;
44;2018;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Très Faible Activité;Solid very low-level radioactive waste;3289.0;m³;Intégration Globale;Full consolidation;;
46;2018;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Haute et Moyenne Activité à vie longue;Solid high- and intermediate-level long-lived radioactive waste;315.0;m³;Intégration Globale;Full consolidation;;
47;2018;Framatome;Framatome;États-Unis;United States of America;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs classe A - Etats-Unis;Solid class A - USA;208.0;m³;Intégration Globale;Full consolidation;;
3;2021;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Très Faible Activité;Solid very low-level radioactive waste;3273.0;m³;Intégration Globale;Full consolidation;;
4;2021;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Faible et Moyenne Activité à vie courte;Solid low- and intermediate-level short-lived radioactive waste;6329.0;m³;Intégration Globale;Full consolidation;La quantité de déchets radioactifs solides de faible et moyenne activité à vie courte est proche de la moyenne observée sur la période 2014-2020.;The quantity of solid low- and intermediate-level short-lived radioactive waste is close to the average observed on the 2014-2020 period.
5;2021;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Haute et Moyenne Activité à vie longue;Solid high- and intermediate-level long-lived radioactive waste;287.0;m³;Intégration Globale;Full consolidation;;
11;2021;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Combustible;Fuel;Combustible nucléaire usé évacué;Disposed spent nuclear fuel;1152.0;t;Intégration Globale;Full consolidation;;
13;2021;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Rejet d'effluents radioactifs dans l'eau;Radioactive effluents released into water;Carbon-14;Carbon-14;9.21;GBq/unité op;Intégration Globale;Full consolidation;;
19;2021;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Rejet d'effluents radioactifs dans l'eau;Radioactive effluents released into water;Tritium - PWR;Tritium - PWR;21.512;TBq/reactor;Intégration Globale;Full consolidation;;
20;2021;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Émissions atmosphériques radioactives;Radioactive atmospheric emissions;Tritium - AGR;Tritium - AGR;0.454;TBq/reactor;Intégration Globale;Full consolidation;;
27;2020;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Faible et Moyenne Activité à vie courte;Solid low- and intermediate-level short-lived radioactive waste;5429.3;m³;Intégration Globale;Full consolidation;;
28;2020;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Haute et Moyenne Activité à vie longue;Solid high- and intermediate-level long-lived radioactive waste;283.3;m³;Intégration Globale;Full consolidation;;
30;2020;Framatome;Framatome;Belgique;Belgium;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs classe A - Belgique;Solid class A - Belgium;0.0;m³;Intégration Globale;Full consolidation;;
37;2019;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Haute et Moyenne Activité à vie longue;Solid high- and intermediate-level long-lived radioactive waste;304.0;m³;Intégration Globale;Full consolidation;;
38;2019;Framatome;Framatome;États-Unis;United States of America;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs classe A - Etats-Unis;Solid class A - USA;235.0;m³;Intégration Globale;Full consolidation;;
43;2018;EDF SA + Framatome;EDF SA + Framatome;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs de Faible et Moyenne Activité (FMA);Low and intermediate-level radioactive waste (LILW);321.0;m³;Intégration Globale;Full consolidation;;
45;2018;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Faible et Moyenne Activité à vie courte;Solid low- and intermediate-level short-lived radioactive waste;5827.0;m³;Intégration Globale;Full consolidation;;
49;2018;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Déchets radioactifs;Nuclear waste;Déchets radioactifs à Faible Activité évacués;Disposed lowlevel radioactive waste;474.0;m³;Intégration Globale;Full consolidation;;
1;2021;EDF SA + Framatome;EDF SA + Framatome;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs de Très Faible Activité (TFA);Very low-level radioactive waste (VLLW);2707.0;m³;Intégration Globale;Full consolidation;;
7;2021;Framatome;Framatome;Belgique;Belgium;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs classe A - Belgique;Solid class A - Belgium;0.0;m³;Intégration Globale;Full consolidation;L'activité en Belgique est en baisse.;Activity in Belgium is decreasing.
12;2021;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets envoyés à l'usine de traitement Centraco;Waste sent to Centraco processing plant;613.0;t;Intégration Globale;Full consolidation;La production et l'évacuation des déchets issus de la déconstruction dépendent de la quantité de chantiers et ne sont donc pas constantes au fil des années. EDF SA (DPNT).;The production and evacuation of waste from deconstruction depend on the quantity of building sites and are thus not constant over the years. EDF SA (DPNT).
15;2021;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Émissions atmosphériques radioactives;Radioactive atmospheric emissions;Carbon-14;Carbon-14;0.148;TBq/unité op;Intégration Globale;Full consolidation;;
23;2021;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Émissions atmosphériques radioactives;Radioactive atmospheric emissions;Carbon-14 - PWR;Carbon-14 - PWR;0.367;TBq/reactor;Intégration Globale;Full consolidation;;
41;2019;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Déchets radioactifs;Nuclear waste;Déchets radioactifs à Moyenne Activité générés;Intermediate-level generated radioactive waste;161.0;m³;Intégration Globale;Full consolidation;;
48;2018;Framatome;Framatome;Belgique;Belgium;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs classe A - Belgique;Solid class A - Belgium;168.0;m³;Intégration Globale;Full consolidation;;
